,skill,count,degree,standard_count,standard_degree,skill profile,job
106,Service Management,8,84,0.09120771607305193,0.6224426528689467,bridging,Computer Systems Analysts
107,Purchasing,8,106,0.09120771607305193,0.996841089179101,bridging,Computer Systems Analysts
108,Systems Development,8,86,0.09120771607305193,0.656478874351688,bridging,Computer Systems Analysts
109,"Economics, Policy, and Social Studies",8,116,0.09120771607305193,1.1670221965928074,bridging,Computer Systems Analysts
110,General Ledger,8,90,0.09120771607305193,0.7245513173171706,bridging,Computer Systems Analysts
111,Operating Systems,7,79,0.037344385509826064,0.5373520991620935,bridging,Computer Systems Analysts
112,Recruitment,7,81,0.037344385509826064,0.5713883206448348,bridging,Computer Systems Analysts
113,Visualization,7,64,0.037344385509826064,0.28208043804153377,bridging,Computer Systems Analysts
115,ERP software,7,60,0.037344385509826064,0.21400799507605117,bridging,Computer Systems Analysts
116,Business Intelligence,7,85,0.037344385509826064,0.6394607636103173,bridging,Computer Systems Analysts
118,Technical Assistance,7,67,0.037344385509826064,0.3331347702656457,bridging,Computer Systems Analysts
120,Software Design,7,70,0.037344385509826064,0.38418910248975763,bridging,Computer Systems Analysts
121,System Testing,7,92,0.037344385509826064,0.7585875387999119,bridging,Computer Systems Analysts
122,JSON,7,99,0.037344385509826064,0.8777143139895064,bridging,Computer Systems Analysts
123,Database Management,7,49,0.037344385509826064,0.02680877692097406,bridging,Computer Systems Analysts
124,Integration Testing,7,93,0.037344385509826064,0.7756056495412825,bridging,Computer Systems Analysts
125,HTML5,7,112,0.037344385509826064,1.0989497536273247,bridging,Computer Systems Analysts
126,Python,7,76,0.037344385509826064,0.48629776693798155,bridging,Computer Systems Analysts
127,Database Design,7,69,0.037344385509826064,0.367170991748387,bridging,Computer Systems Analysts
128,Customer and Client Support,7,54,0.037344385509826064,0.1118993306278273,bridging,Computer Systems Analysts
129,Software Testing,7,68,0.037344385509826064,0.35015288100701636,bridging,Computer Systems Analysts
0,"Policy Analysis, Research, and Development",33,190,8.170190781639334,5.598647335343381,core,Blockchain Engineers
1,Design,26,182,6.282025999475498,5.312426363571414,core,Blockchain Engineers
2,"Company, Product, and Service Knowledge",22,158,5.2030746953818765,4.453763448255515,core,Blockchain Engineers
3,Communication,20,153,4.663599043335066,4.274875340898036,core,Blockchain Engineers
4,"Water Supply, Testing, and Treatment",18,143,4.124123391288255,3.917099126183077,core,Blockchain Engineers
5,Business,16,144,3.584647739241445,3.952876747654573,core,Blockchain Engineers
6,Architecture and Construction,14,127,3.045172087194634,3.344657182639144,core,Blockchain Engineers
7,Java,13,99,2.775434261171229,2.342883781437261,core,Blockchain Engineers
9,Science and Research,9,91,1.6964829570776077,2.0566628096652946,specialized,Blockchain Engineers
