node,HGPA_label,NMF_label
Process_Optimization,4,0
Procurement,4,5
Product_Design,9,11
Product_Development,9,11
Product_Engineering,15,11
Product_Knowledge,13,2
Product_Lifecycle,4,0
Product_Management,8,0
Product_Requirements,8,14
Product_Support,15,11
Production_Line,2,2
Production_Planning,3,2
Production_and_Assembly,3,2
Program_Development,10,6
Programming_Tools,8,14
Programming_languages,1,8
Project_Accounting,15,11
Project_Coordination,1,8
Project_Documentation,0,14
Project_Implementation,15,11
Project_Management,12,14
Project_Management_Office_(PMO),8,12
Project_Performance,13,14
Project_Planning,0,14
Project_Portfolio_Management,7,12
Project_Resources,13,5
Project_Scoping,14,9
Project_Stakeholders,4,5
Promotions_and_Campaigns,5,5
Proofreading,12,4
Property_Management,1,8
Prospecting_and_Qualification,5,3
Prototyping,6,15
Protractor,2,1
Public_Relations,10,6
Purchase_Requisition,3,7
Purchasing,3,2
Purchasing_Process,3,7
Pyspark,14,9
Python,1,8
Quality_Assurance_and_Control,1,14
Quality_Management,3,2
Qualys,10,10
Raw_Data,10,10
React,9,1
Readability,10,6
Recipes,12,4
Reconciliation,4,5
Records_Management,5,3
Recruitment,9,1
Recruitment_Software,13,14
Reengineering,11,14
Regional_Sales,14,9
Regression_Testing,2,2
Regulatory_Requirements,0,9
Relational_Database_Design,1,14
Relational_Databases,8,12
Release_Management,9,1
Release_Notes,0,14
Remittance,12,7
Reporting_Tools,5,3
Request_For_Quotation_(RFQ),3,7
Requirements_Analysis,13,14
Requirements_Elicitation,11,14
Requirements_Management,0,14
Requirements_Specifications,2,12
Requirements_Traceability,8,14
Requisition,3,7
Research_And_Development,2,2
Resource_Management,8,4
Responsive_Web_Design,6,13
Restoration,7,3
Retail_Software,11,10
Return_On_Investment,9,11
Revenue_Management,5,2
Revisions,10,6
Risk_Analysis,9,11
Risk_Awareness,9,11
Risk_Management,0,9
Risk_Management_Tools,0,9
Root_Cause_Analysis,0,14
SAP,3,2
SAP_ABAP,3,2
SAP_Ariba,3,2
SAP_Basis,3,2
SAP_Best_Practices,6,10
SAP_Business_Objects,11,0
SAP_Business_One,12,4
SAP_CO,3,2
SAP_CRM,0,14
SAP_ERP,2,12
SAP_EWM,3,2
SAP_FI,3,2
SAP_Fiori,3,2
SAP_Functional,5,2
SAP_HANA,3,2
SAP_Implementation,3,7
SAP_Production_Planning,3,2
