node,HGPA_label,NMF_label
Legislation,15,8
Levelling,2,15
Library_Science,13,15
Library_and_Archiving,13,15
Licensing,0,15
Lifecycle_Management,5,7
Linked_Data,1,16
Linux,16,2
Liquidity_Management,8,1
Load_Balancing,12,2
Loan_Origination,15,2
Log_Analysis,2,4
Logical_Data_Models,13,2
MAGIC,2,4
MATLAB,6,7
MYOB,8,1
Machine_Learning_(ML),3,14
Magento,11,4
"Maintenance,_Repair,_and_Facility_Services",8,1
Management_Accounting,6,1
Management_Consulting,13,2
Management_Information_Systems,15,11
Management_Systems,0,9
Manufacturing_and_Production,7,3
Market_Data,4,13
Market_Dynamics,4,4
Market_Intelligence,10,4
Market_Opportunities,4,4
Market_Penetration,2,15
Market_Potential,11,4
Market_Research,11,4
Market_Share,10,15
Market_Size,10,6
Marketing,1,15
Marketing_Analysis,11,15
Marketing_Analytics,0,15
Marketing_Automation,1,15
Marketing_Communications,0,15
Marketing_Operations,0,15
Marketing_Planning,0,15
Marketing_Software,1,16
Marketing_Strategy,11,15
Marketo,1,15
Mass_Communication,10,15
Master_Data_Management,2,4
Material_Requirements_Planning,8,1
Materials_Management,8,1
Mathematical_Finance,12,2
Media_and_Writing,10,15
Median,0,15
Mental_Health,1,16
Merchandise_Management,8,3
Merchandising,11,16
Metadata,10,6
Metered_Dose_Inhaler_(MDI),6,7
MicroStrategy,15,16
Microsoft_Access,14,0
Microsoft_Azure,12,2
Microsoft_Dynamics,5,7
Microsoft_Dynamics_365,5,7
Microsoft_Edge,14,11
Microsoft_Excel,10,6
Microsoft_Office,10,6
Microsoft_SQL_Server,15,12
Microsoft_SharePoint,5,7
Microsoft_Visio,0,9
Microsoft_Windows,14,12
Microsoft_Word,4,4
Middleware,13,13
Minitab,6,7
Mitigation,6,7
Mixpanel,13,16
Mobile_App,14,0
Mockup,3,14
Monday.com,12,2
MongoDB,13,2
Multivariate_Analysis,6,7
Mutual_Funds,0,9
MySQL,15,2
Naming_Conventions,12,0
Net_Present_Value,4,13
Netsuite,5,4
New_Business_Development,2,11
New_Media,10,15
New_Product_Development,4,4
Numeracy,14,11
Nursing,5,4
OSIsoft,16,1
Object-Oriented_Programming_(OOP),2,4
Octave,9,8
Office_Automation,8,4
Office_and_Productivity_Software,16,0
Online_Analytical_Processing,0,9
Online_Banking,16,4
Online_Marketing,1,15
Operating_Systems,15,11
Operational_Efficiency,16,5
Operational_Excellence,6,7
Operational_Planning,8,3
Operational_Reporting,14,10
Operations_Management,16,9
Operations_Research,1,16
Oracle,0,14
Oracle_BI_Publisher,15,12
Oracle_Databases,0,14
Oracle_Discoverer,9,8
Oracle_E-Business_Suite,15,11
Oracle_HRMS,9,8
Oracle_Hyperion,2,11
Oracle_PL/SQL,15,12
Order_Management,9,8
Order_Processing,7,3
Organizational_Structure,5,1
Outbound_Calls,10,15
Outliers,9,15
Outsourcing,1,16
PHP,12,2
PL/SQL,0,14
PRINCE,11,4
Parsing,15,0
Paving,15,16
Payment_Processing_and_Collection,5,1
Payroll,9,11
Payroll_Systems,9,15
Peer_Review,7,1
People_Management,15,0
People_Services,11,16
Performance_Appraisal,1,16
Performance_Improvement,9,8
Performance_Management,9,8
Performance_Reporting,9,16
Performance_Review,9,8
Performance_Testing,3,9
Performance_Tuning,7,1
