node,HGPA_label,NMF_label
Manufacturing_and_Production,9,14
MapReduce,10,4
Markdown,14,9
Market_Analysis,13,10
Market_Data,11,7
Market_Development,6,0
Market_Intelligence,11,1
Market_Research,0,2
Market_Risk,4,13
Marketing,2,9
Marketing_Analysis,2,2
Marketing_Analytics,2,2
Marketing_Automation,8,3
Marketing_Communications,8,3
Marketing_Operations,8,3
Marketing_Research,2,9
Marketing_Strategy,1,2
Marketo,8,3
Mass_Media,2,9
Massage,14,6
Master_Data_Management,3,3
Matplotlib,7,7
Media_Management,5,1
Media_and_Writing,2,2
Medical_Laboratory,5,9
Medical_Management,6,11
Medical_Necessity,6,11
Medical_Records,6,11
Mental_Health,8,3
Merchandising,14,2
Message_Broker,5,11
Metadata,12,3
Metadata_Management,3,3
MicroStrategy,14,8
Microservices,3,3
Microsoft_365,5,8
Microsoft_Azure,3,3
Microsoft_Business_Intelligence,12,12
Microsoft_Excel,1,2
Microsoft_Office,14,0
Microsoft_Office_365,9,6
Microsoft_Power_Platform,13,3
Microsoft_SQL_Server,10,12
Microsoft_SQL_Server_Reporting_Services,11,7
Microsoft_Teams,3,3
Microsoft_Word,8,3
Middleware,0,8
Mini_SQL_(MSQL),8,3
Minitab,2,9
Missing_Data,1,0
Mixpanel,13,10
Mobile_App,14,9
Model_Building,7,7
Modelling_Skills,7,7
Modular_Design,3,4
Modularity,7,7
MongoDB,11,4
MuleSoft,3,4
Multi-Cloud,3,3
Multivariate_Analysis,2,9
MySQL,13,4
Naming_Conventions,6,10
National_Airspace_System_(NAS),9,6
Natural_Language_Processing,2,9
Neo4j,11,4
NetBackup,11,13
NetSuite_ERP,14,2
Netsuite,14,2
Network_Analysis,1,9
Network_Engineering,9,6
Network_Protocols,9,6
Network_Routing,9,6
Network_Security,9,6
Network_Support,11,7
Network_Troubleshooting,9,14
New_Product_Development,5,9
NoSQL,3,4
Node.js,11,4
NumPy,11,1
Nunit,6,5
Nursing,6,11
Object-Oriented_Programming_(OOP),0,8
Object_Storage,11,13
Odette_File_Transfer_Protocol_(OFTP),0,8
Office_and_Productivity_Software,14,9
Online_Analytical_Processing,4,5
Online_Marketing,1,2
Online_Teaching,13,8
OpenCV,7,7
OpenShift,8,12
Operating_Systems,3,4
Operational_Efficiency,3,1
Operational_Excellence,4,13
Operational_Reporting,13,10
Operational_Risk,4,13
Operationalization,13,13
Operations_Research,5,1
Optimization_software,1,9
Oracle,10,14
Oracle_DBMS,7,7
Oracle_Data_Integrator,10,14
Oracle_Development,12,12
Oracle_Discoverer,12,10
Oracle_Linux,9,14
Oracle_NetSuite,14,2
Oracle_Rac,9,14
Oracle_SQL_Developer,10,14
Order_Fulfillment,0,0
Order_Processing,1,0
Organic_Search,1,2
Organizational_Development,1,0
Organizational_Structure,0,8
Outliers,12,1
Outsourcing,13,10
PHP,6,11
PL/SQL,12,12
Parameter,1,9
Parsing,3,4
Patents,14,0
Path_Analysis,7,7
Pattern_Recognition,2,10
Payroll,10,12
Peer_Review,2,9
People_Management,3,4
Performance_Management,4,5
Performance_Reporting,8,12
Performance_Tuning,9,6
Periscope,1,9
Perl,9,6
Personal_Attributes,9,6
Pharmacology,6,5
Pharmacy,4,5
Phone_Interviews,14,0
Physical_Security,9,6
Physical_Therapy,6,11
Physics,5,9
Pipeline_Planning,4,5
Pipelining,3,1
Piwik,6,11
Plant_Operations_and_Management,11,1
"Policy_Analysis,_Research,_and_Development",6,5
Portfolio_Management,8,12
PostgreSQL,8,4
Power_BI,2,11
Power_Plant_Operations,11,1
Power_Tools,14,2
Powerapps,13,3
Powerpivot,5,13
Predictive_Analytics,7,7
Predictive_Modeling,1,9
Presales,10,4
Private_Equity,4,0
Probability,7,7
Probation,2,11
Problem_Management,10,12
Problem_Solving,6,8
Process_Analysis,12,5
Process_Design,3,3
Process_Development,1,9
Process_Improvement_and_Optimization,5,10
Process_Management,12,12
Process_Optimization,1,9
Procurement,0,0
Product_Development,1,9
Product_Engineering,3,4
Product_Improvement,12,5
Product_Knowledge,8,3
Product_Management,8,12
Product_Requirements,8,12
Product_Strategy,3,4
Product_Support,0,8
Production_Code,12,7
Production_Process,11,7
Production_and_Assembly,12,3
Profitable_Growth,14,2
Programming_languages,14,4
Project_Coordination,1,0
Project_Documentation,4,5
Project_Implementation,13,4
Project_Management,12,0
